exchange_trade_id,config_file_path,strategy,market,symbol,base_asset,quote_asset,timestamp,order_id,trade_type,order_type,price,amount,leverage,trade_fee,trade_fee_in_quote,position,age
12608348,v2_market-making_dman_v2,v2_market-making_dman_v2,binance_perpetual,SEI-USDT,SEI,USDT,1698509211000,x-3QreWesySSIUT608c8f3f9564b96f4,SELL,LIMIT,0.1103000,273,10,"{'fee_type': 'AddedToCost', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.00602238'}]}",0.00602238,OPEN,00:02:53
12609020,v2_market-making_dman_v2,v2_market-making_dman_v2,binance_perpetual,SEI-USDT,SEI,USDT,1698509749000,x-3QreWesyBSIUT608c91e44f2a496f4,BUY,MARKET,0.1099000,273,10,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.01500135'}]}",0.01500135,CLOSE,n/a
12610063,v2_market-making_dman_v2,v2_market-making_dman_v2,binance_perpetual,SEI-USDT,SEI,USDT,1698511755000,x-3QreWesySSIUT608c990a7803296f4,SELL,LIMIT,0.1104000,272,10,"{'fee_type': 'AddedToCost', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.00600576'}]}",0.00600576,OPEN,00:01:27
12610786,v2_market-making_dman_v2,v2_market-making_dman_v2,binance_perpetual,SEI-USDT,SEI,USDT,1698512999000,x-3QreWesyBSIUT608c9dffc826e96f4,BUY,MARKET,0.1102000,272,10,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.01498720'}]}",0.01498720,CLOSE,00:00:00
12611532,v2_market-making_dman_v2,v2_market-making_dman_v2,binance_perpetual,SEI-USDT,SEI,USDT,1698513699000,x-3QreWesySSIUT608ca06d39cdf96f4,SELL,LIMIT,0.1102000,273,10,"{'fee_type': 'AddedToCost', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.00601692'}]}",0.00601692,OPEN,00:00:48
12612834,v2_market-making_dman_v2,v2_market-making_dman_v2,binance_perpetual,SEI-USDT,SEI,USDT,1698515157000,x-3QreWesyBSIUT608ca60980f2b96f4,BUY,MARKET,0.1100000,273,10,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.01501500'}]}",0.01501500,CLOSE,n/a
12614193,v2_market-making_dman_v2,v2_market-making_dman_v2,binance_perpetual,SEI-USDT,SEI,USDT,1698517996000,x-3QreWesySSIUT608caf8eaa0f096f4,SELL,LIMIT,0.1098000,273,10,"{'fee_type': 'AddedToCost', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.00599508'}]}",0.00599508,OPEN,00:04:44
12616057,v2_market-making_dman_v2,v2_market-making_dman_v2,binance_perpetual,SEI-USDT,SEI,USDT,1698521739000,x-3QreWesyBSIUT608cbe8ecb61d96f4,BUY,MARKET,0.1096000,273,10,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.01496040'}]}",0.01496040,CLOSE,n/a
12619366,v2_market-making_dman_v2,v2_market-making_dman_v2,binance_perpetual,SEI-USDT,SEI,USDT,1698528123000,x-3QreWesySSIUT608cd63f9974796f4,SELL,LIMIT,0.1107000,271,10,"{'fee_type': 'AddedToCost', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.00599994'}]}",0.00599994,OPEN,00:00:25
12619603,v2_market-making_dman_v2,v2_market-making_dman_v2,binance_perpetual,SEI-USDT,SEI,USDT,1698528493000,x-3QreWesyBSIUT608cd7b70c11596f4,BUY,MARKET,0.1105000,271,10,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.01497275'}]}",0.01497275,CLOSE,00:00:02
12620275,v2_market-making_dman_v2,v2_market-making_dman_v2,binance_perpetual,SEI-USDT,SEI,USDT,1698529923000,x-3QreWesySSIUT608cdc837bc8d96f4,SELL,LIMIT,0.1105000,272,10,"{'fee_type': 'AddedToCost', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.00601120'}]}",0.00601120,OPEN,00:02:23
12621001,v2_market-making_dman_v2,v2_market-making_dman_v2,binance_perpetual,SEI-USDT,SEI,USDT,1698531725000,x-3QreWesyBSIUT608ce2c06878996f4,BUY,LIMIT,0.1100000,271,10,"{'fee_type': 'AddedToCost', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.00596200'}]}",0.00596200,OPEN,00:04:30
12621149,v2_market-making_dman_v2,v2_market-making_dman_v2,binance_perpetual,SEI-USDT,SEI,USDT,1698531964000,x-3QreWesyBSIUT608ce4a68898696f4,BUY,MARKET,0.1100000,272,10,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.01496000'}]}",0.01496000,CLOSE,00:00:00
12622508,v2_market-making_dman_v2,v2_market-making_dman_v2,binance_perpetual,SEI-USDT,SEI,USDT,1698533702000,x-3QreWesySSIUT608ceb1fe4efe96f4,SELL,MARKET,0.1102000,271,10,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.01493210'}]}",0.01493210,CLOSE,n/a
12623855,v2_market-making_dman_v2,v2_market-making_dman_v2,binance_perpetual,SEI-USDT,SEI,USDT,1698535749000,x-3QreWesySSIUT608cf1bab79fc96f4,SELL,LIMIT,0.1101000,273,10,"{'fee_type': 'AddedToCost', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.00601146'}]}",0.00601146,OPEN,00:04:34
12625532,v2_market-making_dman_v2,v2_market-making_dman_v2,binance_perpetual,SEI-USDT,SEI,USDT,1698538410000,x-3QreWesyBSIUT608cfca98aa3896f4,BUY,MARKET,0.1099000,273,10,"{'fee_type': 'DeductedFromReturns', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.01500135'}]}",0.01500135,CLOSE,00:00:00
12625545,v2_market-making_dman_v2,v2_market-making_dman_v2,binance_perpetual,SEI-USDT,SEI,USDT,1698538420000,x-3QreWesyBSIUT608cfbb8eb6f796f4,BUY,LIMIT,0.1097000,272,10,"{'fee_type': 'AddedToCost', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.00596768'}]}",0.00596768,OPEN,00:04:23
12625694,v2_market-making_dman_v2,v2_market-making_dman_v2,binance_perpetual,SEI-USDT,SEI,USDT,1698538545000,x-3QreWesySSIUT608cfcbb45ce696f4,SELL,LIMIT,0.1101000,273,10,"{'fee_type': 'AddedToCost', 'percent': '0', 'percent_token': 'USDT', 'flat_fees': [{'token': 'USDT', 'amount': '0.00601146'}]}",0.00601146,OPEN,00:01:58
